scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
spotty_cellular,acorn,1340,175982.38668006225,0.03333333333333333,1340,gamma0
spotty_cellular,acorn,1341,206879.94313569507,0.0,1341,gamma0
spotty_cellular,acorn,1342,235904.45980829382,0.041666666666666664,1342,gamma0
spotty_cellular,acorn,1343,195789.62628919102,0.1,1343,gamma0
spotty_cellular,acorn,1344,247990.52956102169,0.24166666666666667,1344,gamma0
spotty_cellular,acorn,1345,185952.83235467674,0.1,1345,gamma0
spotty_cellular,acorn,1346,234373.8356256932,0.16666666666666666,1346,gamma0
spotty_cellular,acorn,1347,191001.40425366283,0.025,1347,gamma0
spotty_cellular,acorn,1348,194602.43516778547,0.008333333333333333,1348,gamma0
spotty_cellular,acorn,1349,191249.68963688597,0.0,1349,gamma0
spotty_cellular,acorn,1350,206999.51579806503,0.0,1350,gamma0
spotty_cellular,acorn,1351,194399.51817156497,0.008333333333333333,1351,gamma0
spotty_cellular,acorn,1352,191503.46690058967,0.0,1352,gamma0
spotty_cellular,acorn,1353,185279.51863919088,0.016666666666666666,1353,gamma0
spotty_cellular,acorn,1354,212106.03499735397,0.008333333333333333,1354,gamma0
spotty_cellular,acorn,1355,174228.50340335869,0.06666666666666667,1355,gamma0
spotty_cellular,acorn,1356,196448.19301464764,0.0,1356,gamma0
spotty_cellular,acorn,1357,238905.17497512157,0.016666666666666666,1357,gamma0
spotty_cellular,acorn,1358,155600.6905568314,0.0,1358,gamma0
spotty_cellular,acorn,1359,158911.9065740422,0.008333333333333333,1359,gamma0
spotty_cellular,acorn,1360,245607.65212923143,0.075,1360,gamma0
spotty_cellular,acorn,1361,263901.8216532569,0.03333333333333333,1361,gamma0
spotty_cellular,acorn,1362,190649.34879585312,0.0,1362,gamma0
spotty_cellular,acorn,1363,241674.7206362703,0.075,1363,gamma0
spotty_cellular,acorn,1364,178764.66307284328,0.075,1364,gamma0
spotty_cellular,acorn,1365,176913.07414069507,0.008333333333333333,1365,gamma0
spotty_cellular,acorn,1366,238342.6175405247,0.008333333333333333,1366,gamma0
spotty_cellular,acorn,1337,217550.20889335996,0.16666666666666666,1337,delta0
spotty_cellular,acorn,1338,200715.2553127827,0.075,1338,delta0
spotty_cellular,acorn,1339,189421.45201835892,0.058333333333333334,1339,delta0
spotty_cellular,acorn,1340,177167.44639112122,0.08333333333333333,1340,delta0
spotty_cellular,acorn,1341,207085.4647544055,0.0,1341,delta0
